Story Key,Test ID,Summary,Preconditions,Steps,Expected Result,Priority,Labels
"QA-ST-101","AUTH-01","Valid login redirects to requested app page","Active user exists","Open login page | Enter valid email and password | Click Login","User lands on requested return path and sees authenticated UI","High","app-auth;regression;ui"
"QA-ST-101","AUTH-02","Invalid password shows error and blocks login","Active user exists","Open login page | Enter valid email and wrong password | Click Login","Error message is shown and user remains unauthenticated","High","app-auth;negative;ui"
"QA-ST-101","AUTH-03","New user signup shows success or verification message","New email available","Open sign-up page | Enter new user details | Submit form","Signup completes with success or verification instruction","Medium","app-auth;regression;ui"
"QA-ST-101","AUTH-04","Callback flow returns user to origin app","Valid callback token is available","Start login flow | Complete callback exchange","Session is created and user returns to origin route","High","app-auth;integration;ui"
"QA-ST-101","AUTH-05","Invalid return URL is blocked safely","Login URL has untrusted return target","Open crafted login URL with invalid returnTo | Authenticate","Unsafe return is blocked and safe destination is used","High","app-auth;security;negative"
"QA-ST-101","AUTH-06","Session persists after browser refresh","User is authenticated","Login successfully | Refresh browser","Session remains active after refresh","Medium","app-auth;regression"
"QA-ST-101","AUTH-07","Logout clears session and protects secure actions","User is authenticated","Click Logout | Attempt protected action","User is redirected to login for protected action","High","app-auth;regression;ui"
"QA-ST-101","AUTH-08","Multi-tab auth state remains consistent","Browser supports multiple tabs","Open app in two tabs | Login in tab A | Refresh tab B","Auth state is consistent across tabs","Medium","app-auth;resilience"
"QA-ST-102","HOT-01","Hotels page loads with defaults","Hotels app is running","Open Hotels home page","Default city and hotel cards are visible","High","app-hotels;smoke;ui"
"QA-ST-102","HOT-02","Changing city updates hotel list","Hotels list is loaded","Change city selection | Run search","Hotel list updates for selected city","High","app-hotels;regression;ui"
"QA-ST-102","HOT-03","Room type filter narrows hotel results","Hotels list is loaded","Switch room type filter Any to Deluxe or Suite","Visible hotel results match selected room type","Medium","app-hotels;filter"
